
2024/12/05 (14:09:33) | ===> btop++ v.1.4.0
2024/12/05 (14:09:33) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/05 (15:57:20) | ===> btop++ v.1.4.0
2024/12/05 (15:57:20) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/02/17 (12:24:44) | ===> btop++ v.1.4.0
2025/02/17 (12:24:44) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/02/18 (11:25:36) | ===> btop++ v.1.4.0
2025/02/18 (11:25:36) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/02/18 (11:26:43) | ===> btop++ v.1.4.0
2025/02/18 (11:26:43) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/02/22 (07:43:12) | ===> btop++ v.1.4.0
2025/02/22 (07:43:12) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/02/22 (07:43:26) | ===> btop++ v.1.4.0
2025/02/22 (07:43:26) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/02/22 (15:47:47) | ===> btop++ v.1.4.0
2025/02/22 (15:47:47) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/02/22 (15:48:43) | ===> btop++ v.1.4.0
2025/02/22 (15:48:43) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/02/22 (16:03:19) | ===> btop++ v.1.4.0
2025/02/22 (16:03:19) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/02/22 (18:30:03) | ===> btop++ v.1.4.0
2025/02/22 (18:30:03) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/02/22 (18:30:17) | ===> btop++ v.1.4.0
2025/02/22 (18:30:17) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/02/25 (18:38:56) | ===> btop++ v.1.4.0
2025/02/25 (18:38:56) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/02/27 (06:31:29) | ===> btop++ v.1.4.0
2025/02/27 (06:31:29) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/03/04 (10:46:19) | ===> btop++ v.1.4.0
2025/03/04 (10:46:19) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/03/05 (07:02:33) | ===> btop++ v.1.4.0
2025/03/05 (07:02:33) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/03/05 (15:20:31) | ===> btop++ v.1.4.0
2025/03/05 (15:20:31) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/03/06 (07:49:44) | ===> btop++ v.1.4.0
2025/03/06 (07:49:44) | WARNING: Failed to set locale UTF-8 continuing anyway.

